2023-09-02 15:32:55 install libstdc++6:amd64 <none> 12.2.0-14
2023-09-02 15:32:55 status half-installed libstdc++6:amd64 12.2.0-14
2023-09-02 15:32:55 status unpacked libstdc++6:amd64 12.2.0-14
2023-09-02 15:32:55 install libzstd1:amd64 <none> 1.5.4+dfsg2-5
2023-09-02 15:32:55 status half-installed libzstd1:amd64 1.5.4+dfsg2-5
2023-09-02 15:32:55 status unpacked libzstd1:amd64 1.5.4+dfsg2-5
2023-09-02 15:32:56 install libsystemd0:amd64 <none> 252.12-1~deb12u1
2023-09-02 15:32:56 status half-installed libsystemd0:amd64 252.12-1~deb12u1
2023-09-02 15:32:56 status unpacked libsystemd0:amd64 252.12-1~deb12u1
2023-09-02 15:32:56 install libudev1:amd64 <none> 252.12-1~deb12u1
2023-09-02 15:32:56 status half-installed libudev1:amd64 252.12-1~deb12u1
2023-09-02 15:32:56 status unpacked libudev1:amd64 252.12-1~deb12u1
2023-09-02 15:32:56 install libxxhash0:amd64 <none> 0.8.1-1
2023-09-02 15:32:56 status half-installed libxxhash0:amd64 0.8.1-1
2023-09-02 15:32:56 status unpacked libxxhash0:amd64 0.8.1-1
2023-09-02 15:32:56 install libtasn1-6:amd64 <none> 4.19.0-2
2023-09-02 15:32:56 status half-installed libtasn1-6:amd64 4.19.0-2
2023-09-02 15:32:56 status unpacked libtasn1-6:amd64 4.19.0-2
2023-09-02 15:32:56 install libseccomp2:amd64 <none> 2.5.4-1+b3
2023-09-02 15:32:56 status half-installed libseccomp2:amd64 2.5.4-1+b3
2023-09-02 15:32:56 status unpacked libseccomp2:amd64 2.5.4-1+b3
2023-09-02 15:32:56 install libselinux1:amd64 <none> 3.4-1+b6
2023-09-02 15:32:56 status half-installed libselinux1:amd64 3.4-1+b6
2023-09-02 15:32:56 status unpacked libselinux1:amd64 3.4-1+b6
2023-09-02 15:32:56 install tar:amd64 <none> 1.34+dfsg-1.2
2023-09-02 15:32:56 status half-installed tar:amd64 1.34+dfsg-1.2
2023-09-02 15:32:56 status unpacked tar:amd64 1.34+dfsg-1.2
2023-09-02 15:32:56 upgrade perl-base:amd64 5.36.0-7 5.36.0-7
2023-09-02 15:32:56 status half-configured perl-base:amd64 5.36.0-7
2023-09-02 15:32:56 status unpacked perl-base:amd64 5.36.0-7
2023-09-02 15:32:56 status half-installed perl-base:amd64 5.36.0-7
2023-09-02 15:32:57 status unpacked perl-base:amd64 5.36.0-7
2023-09-02 15:32:57 install libsemanage-common:all <none> 3.4-1
2023-09-02 15:32:57 status half-installed libsemanage-common:all 3.4-1
2023-09-02 15:32:57 status unpacked libsemanage-common:all 3.4-1
2023-09-02 15:32:57 install libsepol2:amd64 <none> 3.4-2.1
2023-09-02 15:32:57 status half-installed libsepol2:amd64 3.4-2.1
2023-09-02 15:32:57 status unpacked libsepol2:amd64 3.4-2.1
2023-09-02 15:32:57 install libsemanage2:amd64 <none> 3.4-1+b5
2023-09-02 15:32:57 status half-installed libsemanage2:amd64 3.4-1+b5
2023-09-02 15:32:57 status unpacked libsemanage2:amd64 3.4-1+b5
2023-09-02 15:32:57 install passwd:amd64 <none> 1:4.13+dfsg1-1+b1
2023-09-02 15:32:57 status half-installed passwd:amd64 1:4.13+dfsg1-1+b1
2023-09-02 15:32:58 status unpacked passwd:amd64 1:4.13+dfsg1-1+b1
2023-09-02 15:32:58 install libtinfo6:amd64 <none> 6.4-4
2023-09-02 15:32:58 status half-installed libtinfo6:amd64 6.4-4
2023-09-02 15:32:58 status unpacked libtinfo6:amd64 6.4-4
2023-09-02 15:32:58 install libsmartcols1:amd64 <none> 2.38.1-5+b1
2023-09-02 15:32:58 status half-installed libsmartcols1:amd64 2.38.1-5+b1
2023-09-02 15:32:58 status unpacked libsmartcols1:amd64 2.38.1-5+b1
2023-09-02 15:32:58 install libss2:amd64 <none> 1.47.0-2
2023-09-02 15:32:58 status half-installed libss2:amd64 1.47.0-2
2023-09-02 15:32:58 status unpacked libss2:amd64 1.47.0-2
2023-09-02 15:32:58 install libuuid1:amd64 <none> 2.38.1-5+b1
2023-09-02 15:32:58 status half-installed libuuid1:amd64 2.38.1-5+b1
2023-09-02 15:32:58 status unpacked libuuid1:amd64 2.38.1-5+b1
2023-09-02 15:32:58 install logsave:amd64 <none> 1.47.0-2
2023-09-02 15:32:58 status half-installed logsave:amd64 1.47.0-2
2023-09-02 15:32:58 status unpacked logsave:amd64 1.47.0-2
2023-09-02 15:32:58 install login:amd64 <none> 1:4.13+dfsg1-1+b1
